platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating_loved,rating_liked
Alison,Programming,https://alison.com/course/diploma-in-visual-basic-programming-revised#outcomes,Diploma in Visual Basic Programming,"This free online Visual Basic certification course is designed to teach you the information you need to start using Visual Basic. As demand for software developers rapidly increases, development skills become more and more valuable. Visual Basic is one of the most important programming tools in the world, and understanding it can be an essential to your skills and knowledge as a programmer. Learn Visual Basic today with this free online course.",en,Beginner Level,13366,0,Diploma,Channel 9,43,15
Alison,Programming,https://alison.com/course/introduction-to-ruby-programming#outcomes,Introduction to Ruby Programming,"Ruby programming language has an easy-to-learn syntax and flow. If you wish to learn to program easily, look no further! This course provides a detailed introduction to the basic language you need to master if you want to become a web developer. Besides being easy to learn, Ruby has many advantages. For one, it focuses on programmer productivity and the path to Rails’. Learning Ruby will give you a competitive edge as a developer.",en,Beginner Level,1063,0,Certificate,Stone River eLearning,4,1
Alison,Programming,https://alison.com/course/fundamentals-of-perl-programming-revised#outcomes,Fundamentals of Perl Programming,"This free online fundamentals of Perl programming course will introduce you to the features of Perl and the basics of programming with it. Practical Extraction and Report Language (or Perl) is a programming language used for different tasks like extracting information from a text file, printing out a report, or converting a text file into another format. It is an interpreted language where codes can be run without compilation.",en,Beginner Level,2795,0,Certificate,Mark Berman,72,10
Alison,Programming,https://alison.com/course/coding-for-professional-non-programmers#outcomes,Coding for Professional Non-Programmers,"Python is the go-to programming language for automating workflows and operations. Acquiring a solid understanding of programming theory is essential to create and connect functions seamlessly. This course is designed to cover fundamental structures and concepts of programming, including real-life examples tailored specifically to Python. Do not miss out on the opportunity to learn a skill that will take your career to new heights. Enrol now!",en,Beginner Level,1451,0,Diploma,Elizmay Vos,13,4
Alison,Programming,https://alison.com/course/understanding-python-sentimental-analysis-methodology#outcomes,Understanding Python Sentiment Analysis Methodology,"Does the idea of automation excite you? This free online course will give you a sound understanding of Python sentiment analysis methodology. To take this course, a good command of Python will be beneficial. We will introduce you to TextBlob, along with lemmatization and tokenization methods. Then, we will delve into the automation domain, and you’ll become a master of sentiment classification and visualization.",en,Beginner Level,2113,0,Certificate,Kelvin Fosu,6,3
Alison,Programming,https://alison.com/course/diploma-in-cascading-style-sheets-with-npm-and-sass#outcomes,Diploma in Cascading Style Sheets with NPM and Sass,"This is an expert course on cascading style sheets (CSS) using NPM and Sass. You will learn about NPM and the pros of using this service. In addition, this course goes into detail on how Sass works with NPM to provide a seamless coding experience. Have you ever wondered how to add images to web pages or what layout style is best for your website? This course will explore the possible solutions to these questions.",en,Advanced Level,753,0,Diploma,Juan Galvan,4,1
Alison,Programming,https://alison.com/course/linear-programming-in-matlab-with-solution-to-transportation-problem#outcomes,Linear Programming in MATLAB (With Solution to Transportation Problem),"Linear programming is a mathematical method to find the best outcome in a situation with linear relationships. It's used for optimization in various fields, like economics, logistics, and engineering. Discover the power of Linear Programming in MATLAB with a focus on solving Transportation Problems. Develop essential skills for optimization and operations research. Start your journey in mathematical problem-solving today.",en,Intermediate Level,2195,0,Certificate,Yarpiz Yarpiz,12,4
Alison,Programming,https://alison.com/course/fundamentals-of-swift-programming#outcomes,Fundamentals of Swift Programming,Swift is one of the most popular new languages in the developer's world for writing iOS apps. It is a great time to learn Swift after it was recently voted one of the most beloved new languages by software developers around the globe. Apple’s Swift is open-source and here to stay. This course guides you to learn basic and advanced programming in Swift and quickly helps you become an expert iOS developer. Join this rewarding journey now.,en,Beginner Level,783,0,Certificate,Stone River eLearning,2,0
Alison,Programming,https://alison.com/course/setting-up-java-on-x86-chromebook#outcomes,Setting up Java on x86 Chromebook,This free online course will teach you to set up a Linux Development Environment on your x86 Chromebook and create a stable Java Environment via the Apache Netbeans IDE (Integrated Development Environment) archive. This course will delve into the particulars of downloading and installing the Java Development Kit as well as the Java Runtime Environment via the Debian 11 (penguin) terminal. You will create your first Java program within NetBeans.,en,Beginner Level,231,0,Certificate,WevansComm,2,1
Alison,Programming,https://alison.com/course/javascript-dynamic-timeline-using-json#outcomes,JavaScript Dynamic Timeline Using JSON,"If you have ever wondered how to create an interactive timeline in JavaScript, then look no further. This web development course teaches you how to design an interactive timeline with end-users in mind. You will learn how to generate page content from JSON (JavaScript object notification) data objects and randomly from string characters to populate the web page, then apply styling to make the timeline more dynamic.",en,Beginner Level,755,0,Certificate,Laurence Svekis ✔,2,1
