platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating_loved,rating_liked
Alison,Databases,https://alison.com/course/aws-devops-continuous-integration-delivery-and-deployment#outcomes,"AWS DevOps Continuous; Integration, Delivery and Deployment","AWS is a real-time cloud platform to help you fully manage a continuous delivery service for application and infrastructure updates. We provide you with an understanding of AWS CodePipeline, and what it can do for you and examine all the components and benefits of the platform. We will provide information to assist you in applying an application's integration, delivery and deployment. So, why wait? Enroll today!",en,Beginner Level,6115,0,Certificate,Stone River eLearning,30,17
Alison,Databases,https://alison.com/course/diploma-in-e-commerce-web-development#outcomes,Diploma in E-Commerce Web Development,"This diploma course teaches you how to develop a website to successfully drive e-commerce. We explain how to build an e-commerce website from scratch using HTML, CSS, Javascript, PHP and SQL. We then show you how to develop advanced e-commerce functionalities to display products online, using simple and effective CSS, PHP and SQL code in any development environment. This course can also help small businesses widen their customer base and grow.",en,Beginner Level,117424,0,Diploma,ClayDesk E-Learning,101,43
Alison,Databases,https://alison.com/course/diploma-in-application-development-using-php-and-mysql#outcomes,Diploma in Application Development Using PHP and MySQL,"Application development entails a series of coding steps, all of which must be error-free in order for the app to be well-developed and run at peak performance. This course teaches you how to set up a coding environment for developing applications with MySQL and PHP. Using this course you should be able to create great apps that function well and are easy to develop, maintain and upgrade whenever needed. You'll learn how to code the right way!",en,Beginner Level,15698,0,Diploma,Sonar Systems,68,19
Alison,Databases,https://alison.com/course/microsoft-access-2010-revised-2017#outcomes,Microsoft Access 2010,This training course teaches you how to use Microsoft Access to create and run your own basic database system and develop user-friendly applications. Microsoft Access is a popular software program used across the world to keep track of information. This course explains how to make the most of this flexible and useful program so sign up to quickly gain a valuable new skill that can beef up your professional portfolio and boost your career.,en,Beginner Level,22352,0,Certificate,Microsoft,216,57
Alison,Databases,https://alison.com/course/sql-server-2014-security-fundamentals#outcomes,SQL Server 2014: Security Fundamentals,"This software engineering course takes you through the security fundamentals of SQL Server 2014, as well as teaching you about authentication and contained databases. It explains how to design secure databases using the full range of security options. By the end of the course, you will be more acquainted with the theory and implementation of secure server management, authorization and authentication. Optional SQL certification available.",en,Beginner Level,3205,0,Certificate,Workforce Academy Partnership,6,9
Alison,Databases,https://alison.com/course/the-complete-guide-to-microsoft-access-2021#outcomes,The Complete Guide to Microsoft Access 2021,"Microsoft Access 2021 is a relational database management system. This course examines its features and explains how to build tables, queries and reports that enable us to browse the data, interact with it and generate summaries of collated information. We show you how to connect tables to let you integrate data across them for deeper analysis. Sign up for this MS Access 2021 tutorial to take your data management skills to the next level.",en,Advanced Level,3804,0,Certificate,SimonSezIT,34,17
Alison,Databases,https://alison.com/course/master-django-web-development-hands-on-projects#outcomes,Master Django Web Development: Hands-On Projects,"Django is a powerful open-source web framework for developing secure web applications. In this hands-on course, you'll learn the fundamentals and build the confidence to create fully functional web applications through practical projects. By the end, you'll have a solid understanding of Django's features, allowing you to apply your skills to real-world projects. Enroll now to gain this valuable skill and enhance your web development capabilities.",en,Intermediate Level,3096,0,Certificate,Khan Arbaz,16,10
Alison,Databases,https://alison.com/course/advanced-diploma-in-modern-application-development#outcomes,Advanced Diploma in Modern Application Development,"In this free online course, you will learn key concepts and step by step methods to build an application from scratch in the 2020s. This online diploma course will teach you some important programming languages such as HTML, Java, and MySQL. This course also includes modern, need-to-know details of modern application development including database setup, cookies, encryption as well as protocols that will help you in application development.",en,Advanced Level,10456,0,Diploma,NPTEL,29,11
Alison,Databases,https://alison.com/course/sql-server-2014-t-sql-fundamentals#outcomes,SQL Server 2014: T-SQL Fundamentals,"This free online course has been specifically prepared for beginners in T-SQL and will help you understand the various aspects of SQL Server 2014. Study the differences between a data manipulation language (DLL) and data definition language (DDL), and explore concepts of normalization and concurrency. The course material also covers the operations of WHERE, ORDERBY and GROUPBY clauses, as well as the functions of the Cartesian product.",en,Intermediate Level,2446,0,Certificate,Workforce Academy Partnership,9,4
Alison,Databases,https://alison.com/course/fundamentals-of-perl-programming-revised#outcomes,Fundamentals of Perl Programming,"This free online fundamentals of Perl programming course will introduce you to the features of Perl and the basics of programming with it. Practical Extraction and Report Language (or Perl) is a programming language used for different tasks like extracting information from a text file, printing out a report, or converting a text file into another format. It is an interpreted language where codes can be run without compilation.",en,Beginner Level,2795,0,Certificate,Mark Berman,72,10
Alison,Databases,https://alison.com/course/diploma-in-sql-2014-developer-t-sql-and-net-code#outcomes,Diploma in SQL 2014 Developer : T-SQL and .NET Code,"This free online course will introduce you to the basics of T-SQL and .NET codes with respect to SQL 2014 Developer. SQL Server 2014 delivers mission-critical performance across all workloads with in-memory built-in, faster insights from any data with familiar tools, and a platform for hybrid cloud enabling organizations to easily build, deploy and manage solutions that span on-premises and cloud-based capabilities.",en,Intermediate Level,4954,0,Diploma,Workforce Academy Partnership,12,3
Alison,Databases,https://alison.com/course/mastering-genomics-unveiling-insights-through-rna-sequencing-analysis#outcomes,Mastering Genomics: Unveiling Insights Through RNA-Sequencing Analysis,"In the current course, you will practice a comprehensive bioinformatics/computational analysis on RNA sequencing (RNA-seq) data without any programming skills. Exploring RNA-seq databases and obtaining raw and processed RNA-seq will be taught in depth. Furthermore, you can acquire good skills in quality checking and treating of raw RNA-seq data. Meanwhile, you will learn the alignment process and counting of aligned reads using various packages.",en,Intermediate Level,816,0,Certificate,Mohamad Zamani,5,2
Alison,Databases,https://alison.com/course/microsoft-access-2013-advanced-master-databases#outcomes,Microsoft Access 2013 - Advanced Master Databases,"This free online Microsoft Access 2013 advanced course, designed for intermediate users will teach you about using master databases. In this course you will learn about Indexes and Movies Database and cover topics that discuss the Datasheet View, Controlling the Display, Advanced Sorting, and Filtering. With this course, you will learn advanced techniques that will help you supercharge your MS Access and database skills.",en,Beginner Level,6467,0,Certificate,SimonSezIT,10,3
Alison,Databases,https://alison.com/course/aws-hands-on-implementing-rds-dynamodb-and-crud-operations#outcomes,"AWS Hands-on: Implementing RDS, DynamoDB and CRUD Operations","When companies store data and require computing power, they turn to cloud computing options like Amazon Web Services. Depending on the use case, you'll want to know about relational and non-relational database types. This course will not only teach you Amazon RDS (a service that enables the use of various relational engines) and DynamoDB (non-relational), but you'll also develop them programmatically with the help of Python and Boto3.",en,Advanced Level,1260,0,Certificate,Niyazi Erdogan,3,5
Alison,Databases,https://alison.com/course/exploring-sql-server-2016-fundamentals#outcomes,Exploring SQL Server 2016: Fundamentals,‘Exploring SQL Server 2016: Fundamentals’ discusses fundamental aspects of the SQL Server 2016 software released by Microsoft. The course analyses different functions and feature improvements bundled in this version that responded to user complaints from the database community and the additions made to the SQL Server application for 2016. Start this course today to improve your understanding of databases!,en,Intermediate Level,2356,0,Certificate,Workforce Academy Partnership,2,4
Alison,Databases,https://alison.com/course/a-beginner-s-guide-to-mongodb#outcomes,A Beginner's Guide to MongoDB,"If you want to become a highly skilled developer or a DBA, MongoDB is an excellent place to start since it's user-friendly, adaptable and efficient. In this course, you will discover how to launch a fully-functional web app in no time. The objective is to build a trustworthy foundation that will prepare you for database administration. After acquiring this knowledge, you will immediately be more marketable to potential employers.",en,Advanced Level,2382,0,Certificate,Stone River eLearning,10,7
