name,address,url,datetime,rating,text
Tritonia,"Большая Советская улица, 110/1",https://saratov.flamp.ru/firm/tritonia_restoran-70000001047828766,2024-05-27 13:18:01,5,"Еда и подача, обслуживание, все понравилось особенно. Всем, что заказывали, остались довольны, а именно закусками и салатами, муж брал что-то мясное. Из напитков понравилось вино. Персонал внимательно обслуживал, все убирал и приносил. Выбрала данный ресторан, потому что живем в том поселке, второй раз пришли, переехали недавно. Ждем летнюю веранду, чтобы почаще посещать ресторан с друзьями."
Tritonia,"Большая Советская улица, 110/1",https://saratov.flamp.ru/firm/tritonia_restoran-70000001047828766,2024-05-24 13:04:56,5,"В ресторане очень вкусные блюда и очень вкусное вино. Мне понравился салат с крабом, мини-шпинатом и малиной - очень вкусный. Вино я выбрала белое полусухое, Новая Зеландия. Отмечу также обстановку и интерьер - все очень красиво. Понравилось! Здорово! Мы даже хотели отметить день рождения в банкетном зале. Также стоит сказать и по поводу обслуживания - все очень тактичные и дружелюбные, все здорово."
Tritonia,"Большая Советская улица, 110/1",https://saratov.flamp.ru/firm/tritonia_restoran-70000001047828766,2024-05-23 11:40:08,5,"В ресторане вкусная еда, нам нравится обстановка, посещали заведение раза два в месяц, а в последнее время перестали, так как живем далеко. Обстановка спокойная и тихая. Из блюд все перепробовали, нравятся хорошие мидии. Официанты профессионально обслуживают, знают меню и умеют контактировать с клиентами."
Tritonia,"Большая Советская улица, 110/1",https://saratov.flamp.ru/firm/tritonia_restoran-70000001047828766,2024-05-22 16:56:15,5,"Все было очень быстро, все блюда понравились, обслуживание оперативное, тем более мы были с маленькими детьми, некоторые беспокойства все равно были, а так все прекрасно, мы обязательно будем рекомендовать ресторан, по возможности придем. Нам дали советы по меню, мы остались довольны. Нечасто приходим, тем более, что ресторан какое-то время не работал, летом начнем чаще."
Tritonia,"Большая Советская улица, 110/1",https://saratov.flamp.ru/firm/tritonia_restoran-70000001047828766,2024-04-27 11:18:41,5,"В ресторане было хорошее обслуживание и вкусная еда, я обратила внимание на то, что персонал вежливый. Посещаю ресторан примерно один раз в месяц."
Додо Пицца,"Саратов, Шелковичная улица, 11/15",https://saratov.flamp.ru/firm/dodo_picca_set_piccerijj-70000001019879935,2025-09-01 10:26:34,5,"Заказываю уже года 3 - всегда стабильно вкусно. Пицца горячая, доставка ещё ни разу не опаздывала. Курьеры аккуратные, за столько лет ничего не приезжало помятого."
Додо Пицца,"Саратов, Шелковичная улица, 11/15",https://saratov.flamp.ru/firm/dodo_picca_set_piccerijj-70000001019879935,2025-08-05 10:00:16,5,"доставку заказываем иногда если нет времени готовить, удобно что можно выбрать нужное и привезут когда надо еще и теплым"
Додо Пицца,"Саратов, Шелковичная улица, 11/15",https://saratov.flamp.ru/firm/dodo_picca_set_piccerijj-70000001019879935,2025-04-17 13:01:42,5,"пиццерия зачетная1 готовят вкусно заказ выдают быстро, плюс удобно сидеть и смотреть на табло в ожидании"
Додо Пицца,"Саратов, Шелковичная улица, 11/15",https://saratov.flamp.ru/firm/dodo_picca_set_piccerijj-70000001019879935,2025-02-08 12:18:45,5,"Часто заказываем пиццу здесь — всегда стабильно вкусно! Тесто мягкое, начинки много, особенно нравится «Пепперони» и «Двойной цыплёнок». Доставка быстрая, курьеры вежливые, пицца всегда приезжает горячей.В самом заведении тоже приятно посидеть — чисто, уютно, есть возможность наблюдать за процессом приготовления. Персонал доброжелательный, можно попросить добавить больше соуса или что-то уточнить.Из минусов — в часы пик бывают задержки, но это скорее из-за популярности. В целом отличное место, если хочется вкусной пиццы без сюрпризов!"
Додо Пицца,"Саратов, Шелковичная улица, 11/15",https://saratov.flamp.ru/firm/dodo_picca_set_piccerijj-70000001019879935,2024-07-19 10:37:12,5,"Готовят хорошую пиццу, часто по дороге домой заказываю тут самовывоз через приложение ко времени, всегда все горячее и ждать не нужно, одни плюсы"
