index,title,genre,summary
1512,The Janissary Tree,history," In June 1826, the Sultan Mahmud II disbands and slaughters the Janissaries, once elite troops of the Ottoman Empire but long an unruly element beyond the control of the Sultan or anybody else. Ten years later, the new Westernized corps which replaced the Janissaries are to perform a military exercise. Ten days before the event, four officers disappear; subsequently, one officer is found dead. The general entrusts Yashim the eunuch with solving the mystery. Meanwhile, the Sultan's newest concubine is murdered and the Sultan's mother's jewelry stolen. Yashim must simultaneously investigate three different cases. The cases bring Yashim in and out of the palace, to various embassies, a mosque, and the alleyways and streets of Istanbul. To solve the cases, Yashim employs the assistance of a Polish ambassador and the wife of a Russian ambassador. He discovers that the cases are related, and that they not only involve a plot for revenge by surviving Janissaries hidden somewhere but also the power struggle between the palace eunuchs and the military's extreme pursuit of democratization. In the end, Yashim, against all odds, succeeds in preventing several conspiracies."
1513,Captain Corelli's Mandolin,history," *Dr. Iannis - The island's unofficial, unlicensed doctor, who spends much of his time writing about the history of Cephallonia. He is respected by the community, although regarded as a bit odd, and is thanked for his medical services by means of food and drink. *Pelagia - Dr. Iannis's daughter who is not like the other women on the island (she is well educated and has a lot of respect from her father), who at first falls in love with Mandras, then later with Corelli. *Antonio Corelli - An Italian captain with a love for music and life. He detests the war, and gradually falls in love with Pelagia; but the war inevitably tears them apart again. *Mandras - A young, handsome fisherman who falls in love with Pelagia, only to destroy their relationship by going to fight in the war, and ultimately humiliating himself. *Carlo Piero Guercio - A good-natured homosexual Italian soldier who falls in love with Francesco only to lose him to the war. He later falls in love with Corelli and sacrifices his life to save the Captain's. Captain Corelli's Mandolin explores many varieties of love. We see the initial lust-based love between Pelagia and Mandras, which burns out as a result of the war, and the change it prompts in both of them. Corelli and Pelagia's slow-developing love is the central focus of the novel. Love is described by Dr. Iannis as ""what is left when the passion has gone"", and it certainly appears that this criterion is fulfilled by the love of Corelli and Pelagia. The paternal love of Iannis for Pelagia is also strong and is heavily compared and contrasted to that of Corelli. The theme of music is predominant, offering a direct contrast to the horror and destruction that the war brings, showing how something beautiful can arise from something horrible. The war is described in graphic detail, particularly the death of Francesco. It is responsible for the fall of Mandras and Weber, the deaths of Carlo and Francesco, and the separation of Pelagia and Corelli. Throughout the novel, de Bernières takes a harsh view of all forms of totalitarianism, condemning Fascism, Nazism, and Communism alike. De Bernières described this as a novel about ""what happens to the little people when megalomaniacs get busy."" Another theme of the novel is the study of history. Dr. Iannis spends much of his spare time attempting to write a history of Cephallonia, but often finds his personal feelings and biases running through whatever he writes. There is also a strong feeling against 'professional' history which is suggested by Carlo Guercio's statement that ""I know that if we [the axis] win then there will be stories about mass graves in London and vice versa"". This is reinforced by De Bernières' quotation that: ""history ought to be made up of the stories of ordinary people only."" From this viewpoint it can be seen that de Bernières as very much a revisionist historian, considering social history superior to that of political. De Bernières takes an ambiguous attitude toward heroism and villainy in the novel: many of the characters, despite committing atrocities, are viewed as human victims of bad circumstances. For example, the character Günter Weber carries a great degree of sympathy from the writer, even though he fully engages with the Nazi ideology and is guilty of taking part in the killing of an entire Italian division. Despite having become friends with many of the men, he must follow orders. Similarly, Mandras is guilty of murder, torture and rape, yet the author portrays him sympathetically: ""just another life tarnished... by war."""
1514,The Generals,history," In the turbulent aftermath of the French Revolution Napoleon Bonaparte is accused of treachery and corruption. His reputation is saved by his skill in leading his men to victory in Italy and Egypt. But then he must rush home to France to restore order amidst political unrest, and to find peace or victory over the country's enemies, foremost of which is England-and Arthur Wellesley (the future Duke of Wellington). Wellesley is on the other side of the world in India where British interests are under threat. Wellesley leads vast armies against a series of powerful warlords in campaigns that will result in the creation of the Raj-the jewel in the crown of the British Empire. He returns to England a hardened veteran a more determined than ever to end France's dominion of Europe."
1515,The Betrothed,history," Baldwin, the Archbishop of Canterbury, had exhorted the Britons, and the Anglo-Normans who were settled on the borders of the Welsh principalities, to lay aside their feuds and join in the third Crusade. Accordingly, Gwenwyn, the Prince of Powys-land, and Sir Raymond Berenger, the Knight of Garde Doloureuse, had accepted each other's hospitality, and Gwenwyn, at the suggestion of his chaplain, had arranged to divorce his wife Brengwan, in order that he might marry Sir Raymond's daughter Eveline. In reply to his proposal, however, a messenger brought a letter stating that she was promised to Sir Hugo de Lacy, the Constable of Chester. This being taken by the Welsh as an affront, the call to war was sung by the bards, the Norman castle was attacked, and its owner slain in a combat with his would-be son-in-law. Nerved by the presence of Eveline on the battlements, and supplied with food by a ruse of her father's vassal the Flemish weaver, the garrison, assisted by the military predilections of their chaplain, held out until Damian Lacy arrived with a large force, when the brave but unarmoured Britons were repulsed, and their prince Gwenwyn was killed. Having granted an interview to her deliverer, Eveline was escorted by her suitor the Constable, and a numerous retinue, to her aunt's nunnery at Gloucester. On her way thither she passed a night at the house of a Saxon kinswoman, the Lady of Baldringham, where she occupied a haunted chamber, and saw the ghost of an ancestor's wife, who foretold that she would be Widowed wife, and married maid, Betrothed, betrayer, and betrayed. During her visit to the abbess she was formally espoused to Sir Hugo; but the archbishop having the next day commanded him to proceed to Palestine for three years, he offered to annul their engagement. Eveline, contrary to her aunt&#39;s advice, promised to await his return; and it was arranged that she should reside in her castle, with Rose and Dame Gillian as her attendants, and Damian as her guardian. Wearied with her monotonous life during this seclusion, she was induced one day to join in a hawking expedition unaccompanied by her usual escort, and was seized by rebels secretly instigated by Ranald Lacy. In attempting to rescue her Damian was severely wounded, and she insisted on nursing him in the castle, while Amelot led his men-at-arms in pursuit of the outlaws, whose disaffection had reached the king&#39;s ears, with a rumour that Damian was their captain. Sir Guy Monthermer was, accordingly, sent to demand admittance to Garde Doloureuse, where he was reported to be concealed; and when Eveline ordered the portcullis to be dropped against him, a herald proclaimed her, and all who aided and abetted her, as traitors. The constable and his squire, who were supposed to be dead, returned from Syria, disguised as palmers, just as the royal troops, headed by Prince Richard, had occupied the castle, Eveline at the same time being sent to a convent, and Damian consigned to a dungeon. Having learnt the ill news from old Raoul and his wife, Sir Hugo made his way towards King Henry&#39;s camp, near which, surrounded by an assembly of spectators, Ranald Lacy, who by false representations had obtained a grant of Eveline&#39;s forfeited lands, and assumed his kinsman&#39;s dress and title, was about to present a royal charter of immunities to a procession of the Flemish settlers. Cadwallon, the Welsh bard, had, however, attached himself to Sir Hugo as a Breton minstrel, in order that he might avenge the death of Gwenwyn; and mistaking Ranald for the returned constable, suddenly sprang behind him as he leant forward in his saddle, and stabbed him in the back. Sir Hugo now made himself known, and was welcomed by the king, the assassin was executed, and, convinced that his betrothed&#39;s love had been given to Damian, the old Crusader resigned her to him, and consoled himself by taking part in the subjugation of Ireland."
1516,Count Robert of Paris,history," At the end of the 11th century, the Byzantine capital of Constantinople was threatened by Turkic nomads from the east, and by the Franks from the west. Unable to rely on his Greek subjects to repel their incursions, the emperor was obliged to maintain a body-guard of Varangians, or mercenaries from other nations, of whom the citizens and native soldiers were very jealous. One of these, the Anglo-Saxon Hereward, had just been attacked by Sebastes, when a Varangian officer, Tatius, intervened and led him to the palace. Here he was introduced to the imperial family, surrounded by their attendants; and the Princess Anna was reading a roll of history she had written, when her husband Brennius entered to announce the approach of the armies composing the first Crusade. Convinced that he was powerless to prevent their advance, the emperor offered them hospitality on their way; and, the leaders having agreed to acknowledge his sovereignty, the various hosts marched in procession before his assembled army. As Emperor Comnenus, however, moved forward to receive the homage of Count Bohemond, his vacant throne was insolently occupied by Count Robert of Paris, who was with difficulty compelled to vacate it, and make his submission. The defiant knight, accompanied by his wife Brenhilda, afterwards met the sage Agelastes, who related the story of an enchanted princess, and decoyed them to his hermitage overlooking the Bosphorus. Here they were introduced to the empress and her daughter, who, attended by Brennius, came to visit the sage, and were invited to return with them to the palace to be presented to the emperor. At the State banquet which followed, the guests, including Sir Bohemond, were pledged by their royal host, and urged to accept the golden cups they had used. On waking next morning, Count Robert found himself in a dungeon with a tiger, and that Ursel was confined in an adjoining one. Presently an aggressive orangutan descended through a trap-door, soon followed by the armed Sebastes. Both were overpowered by the Count, when Hereward made his appearance, and undertook to release his Norman adversary. A treasonable conference was meanwhile taking place between Tatius and Agelastes, who had failed in endeavouring to tamper with the Anglo-Saxon; and the countess had been unwillingly transported by the slave Diogenes to a garden-house for a secret interview with Brennius, whom she challenged to knightly combat in the hearing of her husband. Having hidden the count, Hereward encountered his sweetheart Bertha, who had followed Brenhilda as her attendant, and then obtained an audience of the imperial family, who were discussing recent events, including a plot in which Brennius was concerned for seizing the throne, and received permission to communicate with the Duke de Bouillon. Bertha volunteered to be his messenger, and, at an interview with the council of Crusaders at Scutari, she induced them to promise that fifty knights, each with ten followers, should attend the combat to support their champion. Having made his confession to the Patriarch, while Agelastes was killed by the orangutan as he argued with Brenhilda respecting the existence of the devil, the emperor led his daughter to the cell in which Ursel was confined, with the intention of making him her husband, instead of Brennius. She had, however, been persuaded by her mother to intercede for the traitor, and Ursel was merely placed under the care of the slave doctor Douban to be restored to health after his long imprisonment. The emperor had decided that Brennius should fight the Count of Paris, instead of the countess, and all the preparations for the combat had been made, when the ships conveying the Crusaders hove in sight; and, after defeating the Greek fleet, they landed in sight of the lists. Brennius, in the meantime, was pardoned, and, in answer to shouts of discontent from the assembled crowd, Ursel was led forth to announce his restoration to liberty and the imperial favour, and the conspiracy was crushed. Hereward then appeared to do battle with Count Robert, and, saved from the knight's axe by Bertha, he joined the Crusaders, obtaining on his return the hand of his betrothed, and, ultimately, a grant of land from William Rufus, adjacent to the New Forest in Hampshire, where he had screened her when a girl from the tusk of a wild boar."
1517,The Kingdom of the Wicked,history," The story of the birth of Christianity and its interaction with the Roman Empire is told largely chronologically by a narrator slowly succumbing to disease during the reign of Domitian. The story starts where Man of Nazareth ended, immediately after the crucifixion of Jesus, and covers the work of the apostles, in particular Paul (who himself was not one of the original twelve apostles), the development of Christianity as an Abrahamic religion separate from Judaism, the Great Fire of Rome, the persecution of Christians, the destruction of the Second Temple, and the destruction of Pompeii."
1518,The Perilous Road,history," Chris Brabson is a boy whose family lives in the mountains of Eastern Tennessee during the Civil War. His family encounters hard times when cavalry soldiers of the Union Army come and take most of his family's food and their one and only plow horse leaving them little supplies to sustain the winter. Chris vowes to get even with the Yanks and is determined to fight for Confederate Army. Chris' brother, Jethro, has just recently joined the Union Army forcing Chris to examine his beliefs of war, courage, and tolerance. Jethro's enlistment causes the Brabson family to be the victims of prejudice from their neighbors who are sympathizers of the Confederate Army. The neighbors become intolerant of their beliefs and burn down their shed and threaten to do the same with their house. Though Jethro is a Union soldier, Chris hates the Union troops. When Chris finds out that there is a wagon train in the area he alerts a friend of his, Silas Agee, who claims to be a Confederate spy. It is only after he tells Silas about the wagon train that he finds out that his brother's job in the Army will be as a wagon driver. Chris then takes it upon himself to go tell his brother of the fact that the Confederates have been alerted about the wagon train in order to try to save Jethro's life. When he gets to the wagon train in search of Jethro, he is kindly greeted by Union troops who offer him food and conversation. He begins to change his perspective of the Yankees learning that they are very different from him and are not the hateful thieves he once viewed them as."
1519,Sharpe's Enemy,history," In the winter of 1812 a group of deserters from all the armies of the Peninsular War - French, British, Spanish and Portuguese - descends on the isolated hamlet of Adrados, on the Spanish-Portuguese border, led by Obadiah Hakeswill, the antagonist of Sharpe's Company, and Pot-au-Feu aka Sergeant Deron, who appears in Sharpe's Havoc as Marshal Soult's cook. The seize a number of women on pilgrimage to a convent in the village, including Josefina Lacosta who is travelling as ""Lady Farthingdale"", and an Madame Dubreton, the English-born wife of a French colonel of cavalry. Sharpe, recently promoted to the rank of Major is sent, with Patrick Harper, to deliver the ransom demanded for the release of Lady Farthingdale. Upon reaching Adrados they meet Colonel Dubreton and his Sergeant on a similar mission. They see both ladies are safe and deliver the ransom but Hakeswill then demands more by the New Year. Colonel and Madame Dubreton are careful not to let the fact that they know each other be picked up by the deserters. Sharpe and Harper note that Adrados is extremely defensible with a castle, a watchtower and a convent all defensible buildings against attack. Madame Dubreton gives Sharpe a clue that she is in the convent. Nairn believes that the deserters will not agree to a release at all regardless of ransom and thinks a rescue is the best option. It is proposed that Sharpe and the Light Company, with two companies of the 60th American Rifles, will attack the watchtower and the convent to free the ladies and then wait for Colonel Kinney to come with his 113th Fusilier Regiment and Sir Augustus to supervise the surrender of the deserters. They propose to capture the convent on Christmas Eve when the deserters will be almost certainly inebriated. They capture the convent and free the women. Unfortunately, Sharpe discovers that multiple French battalions are on their way to capture the village in order to occupy South Portugal. Sharpe decides to make a stand and blackmails Lord Farthingdale into leaving the village, thus making Sharpe the commanding officer. He ingeniously defends the village by setting a trap for the French, using the rockets to destroy a battalion, mining a building, and generally anticipating his enemies' moves. His wife, a Spanish partisan commander Teresa Moreno, rides to fetch reinforcements who arrive just in time to assist the tiring men. Hakeswill, who was kept as a prisoner, escapes during the last hours of the fight and kills Teresa. Hakeswill tries to desert to the French, but falls in the hands of Dubreton who returns him to Sharpe as a thank you for rescuing the Colonel's wife. Hakeswill is executed by a firing squad and the last shot at the man is taken by Sharpe himself."
1520,Sir Nigel,history," The tale, at its outset, traces the fortunes of the family of Loring of the Manor of Tilford in Surrey, many of whose scions had been prominent in the service of the Norman and Angevin Kings of England, against the backdrop of the Black Death. The tale starts with the problems the family and its last scion, Nigel Loring, face at the hands of the monks of Waverley Abbey, up to the coming of Sir John Chandos. Playing the host to King Edward III of England, Nigel asks to be taken into his service, a request that is complied with by his being made squire to Sir John Chandos. In order to make himself worthy of the hand of the Lady Mary, daughter of Sir John Buttesthorn, he vows to perform three deeds of honour to her. Nigel and his follower Samkin Aylward arrive at Winchelsea, whence they take passage to Calais. En route, he manages to intercept Peter the Red Ferret, a French spy who had stolen certain papers of Sir John Chandos. Since these papers had some bearing upon the English defence of Calais in view of a projected French attack, it was considered necessary in the extreme to recover them. Having defeated the spy in single combat, Nigel is overcome by the wounds he receives and is laid up in the Castle of Calais. When the King visits the young squire to praise his courage, he mentions that the spy was to be hanged. This outrages Nigel, who had promised the Red Ferret quarter, and he crosses purposes with the King. Though the King is enraged by the squire's impertinence, at the intercession of Sir John Chandos, he yields. Nigel Loring then proceeds to set the Red Ferret free after having taken from him his word not to violate the truce and a visit to the Lady Mary, to fulfil his promise to her. Shortly thereafter, Nigel is sent on an expedition to Brittany under the command of Sir Robert Knolles. In the course of their journey, they encounter a Spanish battle-fleet in the Straits of Dover, and in conjunction with the English fleet from Winchelsea, inflict a severe defeat upon the Spaniards. The tale is a rendition of the Battle of Les Espagnols sur Mer (August 1351), as chronicled by Froissart, with a fictional storyline weaved in skilfully with the history. Nigel Loring carries himself well, but achieves nothing of note besides boarding a Spanish carrack to assist Prince Edward, the Black Prince, under the directions of Sir Robert, when the Prince and his men were outnumbered by Spaniards. As the army marches into Brittany, a Frenchman is observed tracking the English column. Nigel is entrusted by Sir Robert Knolles with the task of capturing the Frenchman, a task he executes admirably. But when in the act of conducting him to the English camp, they find that the English army had been attacked and some of its longbowmen, among them Samkin Aylward, captured by the robber baron of La Brohinière, nicknamed 'the butcher', for his practice of executing captives who refused to join his levées. The English troops try to storm the castle of La Brohinière, by a frontal assault, which fails dismally, with the death of the French captive who, being of noble birth, assists the English in destroying this common nemesis. With the assistance of Black Simon of Norwich, a very prominent character in the series, and man-at-arms in the army, and some of the peasants of the surrounding country who hated La Brohinière for his cruelty and deeds, Nigel penetrates the connecting passage between the main castle and one of its outworks. In the ensuing assault, the castle is taken and La Brohinière killed by his very captives. As a token of appreciation of Nigel's planning and execution of a very difficult task, besides communicating the squire's valour to King Edward and Sir John Chandos, Sir Robert Knolles, at Nigel's request instructs his messenger to convey the news of his deed to the Lady Mary. The English army proceeds to the Castle of Ploermel, which was then in the hands of the English knight Richard of Bambro', to advance the English arms in Brittany against the French at Josselin. However, news of a truce between England and France precedes their arrival and serves to dampen their spirit until a visit by the French seneschal Robert of Beaumanoir, Master of Josselin. The French lord proposes a passage of arms, and since a reason would be necessary to justify such a violation of the truce, to the two kings of England and France, he proceeds to pick a mock-quarrel with Nigel Loring. Beaumanoir observes that ""... we have none of the highest of Brittany... neither a Blois, nor a Leon, nor a Rohan, nor a Conan, fights in our ranks this day"". Conan was in fact the personal name of several Dukes of Brittany. In the jousts that thus ensue, the English arms are initially routed with Bambro' killed and Nigel felled, severely wounded. Though the English rally and sorely press the Bretons, by an underhand act, one of the Breton squires mounts his horse, when the conflict was supposed to be on foot, and rides upon the English crushing them. This incident is a thinly-veiled account of the famed Combat of the Thirty of March 1351, which is of importance in Breton history and in the annals of chivalry, as being an exemplary passage of arms. It may be worthwhile to note that Sir Robert Knolles, who is held to have participated in the fictional jousts in Sir Nigel, was also one of the original thirty combatants. Subsequent to the joust, where he tries to take on Beaumanoir himself and is severely wounded, Nigel Loring is left to recover at the Castle of Ploermel by his comrades, and proceeds to convalesce in the course of a year, which sees the breaking of the truce, a defeat of French arms in Brittany and the declaration of another truce. Nigel is by then made seneschal of the Castle of Vannes. It is then that Sir John Chandos summons him to Bergerac to accompany the Black Prince on a raid into France. This raid concludes in the Battle of Poitiers (September 1356). In the course of the battle, Nigel overcomes King John II of France but fails to receive his surrender not knowing the identity of his opponent and is thus unable to lay claim to the king's ransom. But since the king himself identifies the squire as his conqueror, the Black Prince awards Nigel Loring his golden spurs and dubs him a knight (the historical Neil Loring is older than the protagonist, and was knighted already in 1340 at the Battle of Sluys). Sir Nigel then returns to England where he weds the Lady Mary. The book concludes with a summary of Sir Nigel's life and the future which had already been documented in The White Company."
1521,The Load of Unicorn,history," Benedict, known as Bendy, has been apprenticed by his forward-looking father to the printer William Caxton. This infuriates his mean half-brothers who are scriveners and fear that the new-fangled printing press will drive them out of business. They have secretly waylaid the printer's delivery of new paper and are hiding it. Bendy knows about it but is worried about the consequences of telling, especially as his half-brothers may be involved with Lancastrian rebels. Caxton sends Bendy and another apprentice on a quest to find the complete manuscript of Thomas Mallory's stories of King Arthur, but it proves dangerous as others are also on the trail."
